species,year,decimalLongitude,decimalLatitude
Ctenosaura similis,2021,-84.346158,9.990422
Anolis cupreus,2021,-84.345413,9.989367
Ctenosaura similis,2021,-84.345754,9.989296
Ctenosaura similis,2021,-84.345772,9.98975
Iguana iguana,2011,-84.206187,9.994145
Ctenosaura similis,2021,-84.346207,9.990213
Sceloporus malachiticus,2021,-84.135858,9.882756
Ctenosaura similis,2005,-84.233736,9.926162
Boa imperator,2021,-84.137456,9.923007
Anolis cupreus,2021,-84.345508,9.989445
Anolis cupreus,2021,-84.344938,9.989855
Iguana iguana,2011,-84.206187,9.994145
Basiliscus basiliscus,2011,-84.206187,9.994145
Sceloporus malachiticus,2014,-84.171139,10.01268
Iguana iguana,2011,-84.206187,9.994145
Anolis tropidolepis,2010,-83.879997,9.9
Anolis tropidolepis,2010,-83.879997,9.9
Anolis tropidolepis,2014,-84.099998,10.11
Anolis tropidolepis,2014,-84.099998,10.11
Anolis tropidolepis,2010,-83.959999,9.8
Anolis tropidolepis,2010,-83.980003,9.76
Anolis tropidolepis,2010,-84.160004,10.12
Sceloporus malachiticus,2021,-84.150601,10.045809
Ctenosaura similis,2021,-84.234736,10.051825
Iguana iguana,2021,-84.205945,10.001719
Gonatodes albogularis,2021,-84.184965,9.949326
Iguana iguana,2014,-84.40181,9.984324
Leptodrymus pulcherrimus,2021,-84.303666,9.961334
Boa imperator,2021,-84.303666,9.961334
Bothrops asper,2021,-84.303666,9.961334
Abronia monticola,2021,-83.982441,9.768287
Sceloporus malachiticus,2021,-84.010291,9.931357
Hemidactylus frenatus,2021,-84.184965,9.949326
Ctenosaura similis,2021,-84.347713,9.946914
Iguana iguana,2021,-84.136773,9.959939
Sceloporus malachiticus,2021,-83.882053,9.832729
Geophis brachycephalus,2021,-84.018725,9.97995
Hemidactylus frenatus,2019,-84.092095,9.938282
Iguana iguana,2021,-84.07888,9.980974
Sceloporus malachiticus,2019,-83.970007,9.959192
Leptodeira rhombifera,2021,-84.172882,9.977419
Ninia maculata,2021,-83.970755,9.959237
Oxybelis koehleri,2021,-84.136736,9.959888
Gymnophthalmus speciosus,2021,-84.262044,10.042345
Cerrophidion sasai,2021,-83.971022,9.9593
Sceloporus malachiticus,2021,-84.096782,10.014434
Ninia maculata,2021,-84.067101,10.028851
Sceloporus malachiticus,2021,-84.040389,10.026131
Hemidactylus frenatus,2021,-84.179558,9.913628
Lampropeltis abnorma,2021,-83.849819,9.842659
Anolis tropidolepis,2021,-84.125522,9.865641
Geophis hoffmanni,2021,-84.142833,10.064506
Ninia sebae,2021,-83.92651,9.787313
Abronia monticola,2020,-84.192302,10.142904
Sceloporus malachiticus,2021,-84.005775,9.931125
Iguana iguana,2021,-84.073136,9.938363
Sceloporus malachiticus,2020,-83.883219,9.932897
Sceloporus malachiticus,2021,-84.191776,9.981588
Sceloporus malachiticus,2021,-84.094976,10.009731
Iguana iguana,2021,-84.318201,9.919729
Ninia maculata,2016,-84.180243,9.936863
Sceloporus malachiticus,2021,-84.09498,10.00975
Enulius flavitorques,2021,-84.134105,10.000036
Sceloporus malachiticus,2021,-83.982231,9.768361
Ninia maculata,2021,-84.040879,10.038763
Sceloporus malachiticus,2021,-83.951047,9.77638
Bothriechis nigroviridis,2021,-84.033024,10.051147
Sceloporus malachiticus,2021,-84.043637,9.991026
Iguana iguana,2021,-84.12683,9.977672
Micrurus nigrocinctus,2020,-84.002681,9.863054
Sceloporus malachiticus,2020,-84.0026,9.863693
Hemidactylus frenatus,2020,-84.108133,9.941426
Senticolis triaspis,2020,-84.080503,9.935459
Lepidodactylus lugubris,2020,-84.052632,9.909923
Sceloporus malachiticus,2020,-84.125283,9.915787
Chironius exoletus,2020,-84.12721,9.920821
Anolis tropidolepis,2021,-83.969641,9.940678
Basiliscus plumifrons,2021,-83.885317,9.80455
Sceloporus malachiticus,2021,-84.044333,9.840947
Sceloporus malachiticus,2021,-83.969641,9.940678
Iguana iguana,2021,-84.162154,10.136271
Sceloporus malachiticus,2021,-84.243444,9.898916
Sceloporus malachiticus,2021,-83.993722,9.84457
Phrynonax poecilonotus,2021,-84.255372,9.906529
Cerrophidion sasai,2020,-83.971439,9.964352
Kinosternon scorpioides,2021,-84.307372,9.916762
Sceloporus malachiticus,2021,-84.070023,9.878933
Sceloporus malachiticus,2021,-84.067764,9.884137
Sceloporus malachiticus,2021,-84.03375,9.887763
Sceloporus malachiticus,2021,-84.148675,9.924672
Ctenosaura similis,2014,-84.071789,9.88304
Sceloporus malachiticus,2021,-84.087608,10.029007
Anolis cupreus,2021,-84.262031,9.918653
Ninia maculata,2021,-83.92651,9.787313
Basiliscus basiliscus,2021,-84.07328,9.938641
Hemidactylus frenatus,2021,-83.997835,9.970615
Ninia maculata,2020,-84.138997,9.897947
Stenorrhina degenhardtii,2017,-84.262355,9.90007
Ctenosaura similis,2021,-84.318107,9.919504
Scolecophis atrocinctus,2019,-84.253261,9.901967
Senticolis triaspis,2021,-84.202394,10.029638
Iguana iguana,2020,-84.201148,10.039785
Erythrolamprus epinephalus,2017,-83.981303,9.796547
Ctenosaura similis,2019,-84.20204,10.029704
Ctenosaura similis,2020,-84.285005,9.993945
Sceloporus malachiticus,2020,-84.20204,10.029704
