species,year,decimalLongitude,decimalLatitude
Sciurus variegatoides,2020,-83.970347,9.958883
Cebus imitator,2020,-84.083018,9.877051
Sciurus variegatoides,2020,-84.137255,9.923041
Scotinomys teguina,2020,-83.773252,9.828109
Nasua narica,2017,-84.203743,10.012692
Sciurus variegatoides,2020,-84.198868,10.058094
Artibeus lituratus,2012,-84.093175,9.973443
Dasypus novemcinctus,2018,-83.994046,9.936298
Sciurus variegatoides,2015,-84.1,9.935722
Equus caballus,2020,-84.013939,10.029911
Bradypus variegatus,2016,-84.051501,9.93681
Sciurus variegatoides,2020,-84.05463,9.924402
Nasua narica,2015,-83.783075,9.749211
Sciurus variegatoides,2020,-84.109055,9.999185
Sciurus granatensis,2020,-83.944221,9.91049
Sciurus variegatoides,2020,-84.109268,9.999059
Sciurus variegatoides,2015,-84.078863,9.98061
