species,year,decimalLongitude,decimalLatitude
Heliconia wagneriana,2023,-84.115251,9.944559
Alpinia zerumbet,2023,-84.237245,9.987567
Cyperus papyrus,2023,-84.237263,9.987416
Etlingera elatior,2023,-84.237263,9.987416
Rivina humilis,2023,-84.237263,9.987416
Ipomoea batatas,2022,-84.2107,9.954683
Puya dasylirioides,2023,-83.89648,9.754693
Hypoestes phyllostachya,2023,-84.207778,10.059261
Kaempferia rotunda,2023,-84.265979,10.047702
Justicia aurea,2022,-84.121239,10.009472
Rivina humilis,2022,-84.078852,9.981022
Cnidoscolus souzae,2023,-84.05177,9.955872
Phyllanthus tenellus,2022,-84.130347,9.986242
Mangifera indica,2023,-84.237263,9.987416
Ruellia simplex,2020,-84.073212,9.938469
Physalis peruviana,2023,-84.05176,9.955859
Heliconia rostrata,2023,-84.237263,9.987416
Pilea microphylla,2023,-84.292908,10.005964
Kalanchoe pinnata,2021,-84.101322,9.948187
Megaskepasma erythrochlamys,2023,-84.237263,9.987416
Kalanchoe pinnata,2022,-84.211075,9.95443
Heliconia psittacorum,2023,-84.237263,9.987416
Mecardonia procumbens,2020,-84.044022,9.990349
Justicia spicigera,2021,-84.034431,9.965736
Trifolium amabile,2022,-84.133992,9.875585
Anthurium scandens,2022,-84.134377,9.8792
Monstera deliciosa,2023,-84.213569,10.017172
Justicia macrantha,2021,-84.097627,9.952062
Hibiscus archeri,2022,-83.866408,9.83925
Salvia rosmarinus,2022,-83.896366,9.881834
Syngonium wendlandii,2023,-84.0675,9.998056
Pleopeltis astrolepis,2008,-84.0,10.0
Marcgravia brownei,2023,-84.10806,10.10004
Gonolobus grayumii,2023,-84.10806,10.10004
Persicaria punctata,2023,-84.10806,10.10004
Citharexylum mocinoi,2023,-84.10806,10.10004
Fleischmannia plectranthifolia,2023,-84.10806,10.10004
Monnina pittieri,2023,-84.10806,10.10004
Didymaea mexicana,2023,-84.10806,10.10004
Cardamine flexuosa,2023,-84.10806,10.10004
Monochaetum floribundum,2023,-84.10806,10.10004
Monochaetum floribundum,2023,-84.10806,10.10004
Monstera deliciosa,2023,-84.213719,10.016688
Eucalyptus deglupta,2022,-84.211853,10.097231
Coffea arabica,2003,-83.784032,9.7596
Anthurium scherzerianum,2003,-83.784032,9.7596
Monochaetum floribundum,2021,-83.960131,9.759737
Begonia conchifolia,2021,-84.13691,9.87385
Coffea arabica,2012,-84.211025,10.097814
Columnea microphylla,2003,-83.784032,9.7596
Coix lacryma-jobi,2003,-83.784032,9.7596
Arachis pintoi,2022,-83.855208,9.769161
Alpinia purpurata,2023,-84.109344,9.939355
Guarianthe skinneri,2023,-84.213858,10.016535
Philodendron verrucosum,2003,-83.784032,9.7596
Monochaetum vulcanicum,2006,-84.055129,10.01824
